index,year,topic,prob,prob,prob,prob
,,,mean,median,std,count
259,2009,9,0.021897846486332806,0.016461828723549843,0.012763845451839728,43
260,2010,0,0.08595222545271688,0.04621284827589989,0.09943909019095674,296
261,2010,1,0.34147693614117774,0.026366865262389183,0.446839979540735,263
262,2010,2,0.18242149653896275,0.1478630229830742,0.14126798497873833,576
263,2010,3,0.12246924173086882,0.08314394950866699,0.10942564604374926,428
264,2010,4,0.20077512048558926,0.14972278475761414,0.170683983727122,488
265,2010,5,0.32988335786482303,0.3225032240152359,0.18676271379991866,706
266,2010,6,0.21889376408496436,0.18131189048290253,0.16131998107898596,601
267,2010,7,0.028875554447849297,0.022058235481381416,0.019977978880038286,271
268,2010,8,0.1616735834589225,0.13432161509990692,0.11516998947996575,619
269,2010,9,0.024592993713155823,0.017601342871785164,0.01777551024693617,206
270,2011,0,0.3085141706672546,0.550000011920929,0.2603410604660934,38
271,2011,1,0.7582346436953763,0.9679238200187683,0.3920253263453391,123
272,2011,2,0.16681597715303784,0.11299999430775642,0.13743655573117555,62
273,2011,3,0.07939911496882536,0.05000000074505806,0.07937772828698329,49
274,2011,4,0.24982792958617211,0.2577117532491684,0.18148185500728597,70
275,2011,5,0.13566145692020654,0.05000000447034836,0.1490636566100218,65
276,2011,6,0.11103024238792177,0.05000000447034836,0.10377395487222152,52
277,2011,7,0.04216524881443807,0.05000000074505806,0.024433792216465036,35
278,2011,8,0.1379222653519649,0.08398207277059555,0.12095835059299034,65
279,2011,9,0.03014977800194174,0.02242972794920206,0.016269243716417563,56
280,2012,0,0.08786157170130361,0.05588489957153797,0.0807836386230399,310
281,2012,1,0.024798539910940515,0.01740812510251999,0.01755255440075017,149
282,2012,2,0.18332326555326983,0.15380173921585083,0.13226025984750983,557
283,2012,3,0.12557859414512237,0.09278088808059692,0.10844414728001607,449
284,2012,4,0.22483706035515066,0.16193953156471252,0.18043519562112684,506
285,2012,5,0.3619138821500213,0.34646447002887726,0.1842197986120755,730
286,2012,6,0.20289374268267657,0.16480548679828644,0.15573067698394652,592
287,2012,7,0.030737788730766623,0.02328357193619013,0.021631279203469272,240
288,2012,8,0.15671616971035893,0.1326548233628273,0.10745829536166208,636
289,2012,9,0.025798944282923,0.019732432439923286,0.01830321162896169,179
